Address (dec),Address (hex),Device,Message,Message Abbreviation
983,0x3D7,,,
984,0x3D8,,,
985,0x3D9,,,
986,0x3DA,,,
987,0x3DB,,,
988,0x3DC,,,
989,0x3DD,,,
990,0x3DE,,,
991,0x3DF,,,
992,0x3E0,,,
993,0x3E1,,,
994,0x3E2,,,
995,0x3E3,,,
996,0x3E4,,,
997,0x3E5,,,
998,0x3E6,,,
999,0x3E7,,,
1000,0x3E8,,,
1001,0x3E9,,,
1002,0x3EA,,,
1003,0x3EB,,,
1004,0x3EC,,,
1005,0x3ED,,,
1006,0x3EE,,,
1007,0x3EF,,,
1008,0x3F0,,,
1009,0x3F1,,,
1010,0x3F2,,,
1011,0x3F3,,,
1012,0x3F4,,,
1013,0x3F5,,,
1014,0x3F6,,,
1015,0x3F7,,,
1016,0x3F8,,,
1017,0x3F9,,,
1018,0x3FA,,,
1019,0x3FB,,,
1020,0x3FC,,,
1021,0x3FD,,,
1022,0x3FE,,,
1023,0x3FF,,,
1024,0x400,,,
1025,0x401,,,
1026,0x402,,,
1027,0x403,,,
1028,0x404,,,
1029,0x405,,,
1030,0x406,,,
1031,0x407,,,
1032,0x408,,,
1033,0x409,,,
1034,0x40A,,,
1035,0x40B,,,
1036,0x40C,,,
1037,0x40D,,,
1038,0x40E,,,
1039,0x40F,,,
1040,0x410,,,
1041,0x411,,,
1042,0x412,,,
1043,0x413,,,
1044,0x414,,,
1045,0x415,,,
1046,0x416,,,
1047,0x417,,,
1048,0x418,,,
1049,0x419,,,
1050,0x41A,,,
1051,0x41B,,,
1052,0x41C,,,
1053,0x41D,,,
1054,0x41E,,,
1055,0x41F,,,
1056,0x420,,,
1057,0x421,,,
1058,0x422,,,
1059,0x423,,,
1060,0x424,,,
1061,0x425,,,
1062,0x426,,,
1063,0x427,,,
1064,0x428,,,
1065,0x429,,,
1066,0x42A,,,
1067,0x42B,,,
1068,0x42C,,,
1069,0x42D,,,
1070,0x42E,,,
1071,0x42F,,,
1072,0x430,,,
1073,0x431,,,
1074,0x432,,,
1075,0x433,,,
1076,0x434,,,
1077,0x435,,,
1078,0x436,,,
1079,0x437,,,
1080,0x438,,,
1081,0x439,,,
1082,0x43A,,,
1083,0x43B,,,
1084,0x43C,,,
1085,0x43D,,,
1086,0x43E,,,
1087,0x43F,,,
1088,0x440,,,
1089,0x441,,,
1090,0x442,,,
1091,0x443,,,
1092,0x444,,,
1093,0x445,,,
1094,0x446,,,
1095,0x447,,,
1096,0x448,,,
1097,0x449,,,
1098,0x44A,,,
1099,0x44B,,,
1100,0x44C,,,
1101,0x44D,,,
1102,0x44E,,,
1103,0x44F,,,
1104,0x450,,,
1105,0x451,,,
1106,0x452,,,
1107,0x453,,,
1108,0x454,,,
1109,0x455,,,
1110,0x456,,,
1111,0x457,,,
1112,0x458,,,
1113,0x459,,,
1114,0x45A,,,
1115,0x45B,,,
1116,0x45C,,,
1117,0x45D,,,
1118,0x45E,,,
1119,0x45F,,,
1120,0x460,,,
1121,0x461,,,
1122,0x462,,,
1123,0x463,,,
1124,0x464,,,
1125,0x465,,,
1126,0x466,,,
1127,0x467,,,
1128,0x468,,,
1129,0x469,,,
1130,0x46A,,,
1131,0x46B,,,
1132,0x46C,,,
1133,0x46D,,,
1134,0x46E,,,
1135,0x46F,,,
1136,0x470,,,
1137,0x471,,,
1138,0x472,,,
1139,0x473,,,
1140,0x474,,,
1141,0x475,,,
1142,0x476,,,
1143,0x477,,,
1144,0x478,,,
1145,0x479,,,
1146,0x47A,,,
1147,0x47B,,,
1148,0x47C,,,
1149,0x47D,,,
1150,0x47E,,,
1151,0x47F,,,
1152,0x480,,,
1153,0x481,,,
1154,0x482,,,
1155,0x483,,,
1156,0x484,,,
1157,0x485,,,
1158,0x486,,,
1159,0x487,,,
1160,0x488,,,
1161,0x489,,,
1162,0x48A,,,
1163,0x48B,,,
1164,0x48C,,,
1165,0x48D,,,
1166,0x48E,,,
1167,0x48F,,,
1168,0x490,,,
1169,0x491,,,
1170,0x492,,,
1171,0x493,,,
1172,0x494,,,
1173,0x495,,,
1174,0x496,,,
1175,0x497,,,
1176,0x498,,,
1177,0x499,,,
1178,0x49A,,,
1179,0x49B,,,
1180,0x49C,,,
1181,0x49D,,,
1182,0x49E,,,
1183,0x49F,,,
1184,0x4A0,,,
1185,0x4A1,,,
1186,0x4A2,,,
1187,0x4A3,,,
1188,0x4A4,,,
1189,0x4A5,,,
1190,0x4A6,,,
1191,0x4A7,,,
1192,0x4A8,,,
1193,0x4A9,,,
1194,0x4AA,,,
1195,0x4AB,,,
1196,0x4AC,,,
1197,0x4AD,,,
1198,0x4AE,,,
1199,0x4AF,,,
1200,0x4B0,,,
1201,0x4B1,,,
1202,0x4B2,,,
1203,0x4B3,,,
1204,0x4B4,,,
1205,0x4B5,,,
1206,0x4B6,,,
1207,0x4B7,,,
1208,0x4B8,,,
1209,0x4B9,,,
1210,0x4BA,,,
1211,0x4BB,,,
1212,0x4BC,,,
1213,0x4BD,,,
1214,0x4BE,,,
1215,0x4BF,,,
1216,0x4C0,,,
1217,0x4C1,,,
1218,0x4C2,,,
1219,0x4C3,,,
1220,0x4C4,,,
1221,0x4C5,,,
1222,0x4C6,,,
1223,0x4C7,,,
1224,0x4C8,,,
1225,0x4C9,,,
1226,0x4CA,,,
1227,0x4CB,,,
1228,0x4CC,,,
1229,0x4CD,,,
1230,0x4CE,,,
1231,0x4CF,,,
1232,0x4D0,,,
1233,0x4D1,,,
1234,0x4D2,,,
1235,0x4D3,,,
1236,0x4D4,,,
1237,0x4D5,,,
1238,0x4D6,,,
1239,0x4D7,,,
1240,0x4D8,,,
1241,0x4D9,,,
1242,0x4DA,,,
1243,0x4DB,,,
1244,0x4DC,,,
1245,0x4DD,,,
1246,0x4DE,,,
1247,0x4DF,,,
1248,0x4E0,,,
1249,0x4E1,,,
1250,0x4E2,,,
1251,0x4E3,,,
1252,0x4E4,,,
1253,0x4E5,,,
1254,0x4E6,,,
1255,0x4E7,,,
1256,0x4E8,,,
1257,0x4E9,,,
1258,0x4EA,,,
1259,0x4EB,,,
1260,0x4EC,,,
1261,0x4ED,,,
1262,0x4EE,,,
1263,0x4EF,,,
1264,0x4F0,,,
1265,0x4F1,,,
1266,0x4F2,,,
1267,0x4F3,,,
1268,0x4F4,,,
1269,0x4F5,,,
1270,0x4F6,,,
1271,0x4F7,,,
1272,0x4F8,,,
1273,0x4F9,,,
1274,0x4FA,,,
1275,0x4FB,,,
1276,0x4FC,,,
1277,0x4FD,,,
1278,0x4FE,,,
1279,0x4FF,,,
1280,0x500,,,
1281,0x501,,,
1282,0x502,,,
1283,0x503,,,
1284,0x504,,,
1285,0x505,,,
1286,0x506,,,
1287,0x507,,,
1288,0x508,,,
1289,0x509,,,
1290,0x50A,,,
1291,0x50B,,,
1292,0x50C,,,
1293,0x50D,,,
1294,0x50E,,,
1295,0x50F,,,
1296,0x510,,,
1297,0x511,,,
1298,0x512,,,
1299,0x513,,,
1300,0x514,,,
1301,0x515,,,
1302,0x516,,,
1303,0x517,,,
1304,0x518,,,
1305,0x519,,,
1306,0x51A,,,
1307,0x51B,,,
1308,0x51C,,,
1309,0x51D,,,
1310,0x51E,,,
1311,0x51F,,,
1312,0x520,,,
1313,0x521,,,
1314,0x522,,,
1315,0x523,,,
1316,0x524,,,
1317,0x525,,,
1318,0x526,,,
1319,0x527,,,
1320,0x528,,,
1321,0x529,,,
1322,0x52A,,,
1323,0x52B,,,
1324,0x52C,,,
1325,0x52D,,,
1326,0x52E,,,
1327,0x52F,,,
1328,0x530,,,
1329,0x531,,,
1330,0x532,,,
1331,0x533,,,
1332,0x534,,,
1333,0x535,,,
1334,0x536,,,
1335,0x537,,,
1336,0x538,,,
1337,0x539,,,
1338,0x53A,,,
1339,0x53B,,,
1340,0x53C,,,
1341,0x53D,,,
1342,0x53E,,,
1343,0x53F,,,
1344,0x540,,,
1345,0x541,,,
1346,0x542,,,
1347,0x543,,,
1348,0x544,,,
1349,0x545,,,
1350,0x546,,,
1351,0x547,,,
1352,0x548,,,
1353,0x549,,,
1354,0x54A,,,
1355,0x54B,,,
1356,0x54C,,,
1357,0x54D,,,
1358,0x54E,,,
1359,0x54F,,,
1360,0x550,,,
1361,0x551,,,
1362,0x552,,,
1363,0x553,,,
1364,0x554,,,
1365,0x555,,,
1366,0x556,,,
1367,0x557,,,
1368,0x558,,,
1369,0x559,,,
1370,0x55A,,,
1371,0x55B,,,
1372,0x55C,,,
1373,0x55D,,,
1374,0x55E,,,
1375,0x55F,,,
1376,0x560,,,
1377,0x561,,,
1378,0x562,,,
1379,0x563,,,
1380,0x564,,,
1381,0x565,,,
1382,0x566,,,
1383,0x567,,,
1384,0x568,,,
1385,0x569,,,
1386,0x56A,,,
1387,0x56B,,,
1388,0x56C,,,
1389,0x56D,,,
1390,0x56E,,,
1391,0x56F,,,
1392,0x570,,,
1393,0x571,,,
1394,0x572,,,
1395,0x573,,,
1396,0x574,,,
1397,0x575,,,
1398,0x576,,,
1399,0x577,,,
1400,0x578,,,
1401,0x579,,,
1402,0x57A,,,
1403,0x57B,,,
1404,0x57C,,,
1405,0x57D,,,
1406,0x57E,,,
1407,0x57F,,,
1408,0x580,,,
1409,0x581,,,
1410,0x582,,,
1411,0x583,,,
1412,0x584,,,
1413,0x585,,,
1414,0x586,,,
1415,0x587,,,
1416,0x588,,,
1417,0x589,,,
1418,0x58A,,,
1419,0x58B,,,
1420,0x58C,,,
1421,0x58D,,,
1422,0x58E,,,
1423,0x58F,,,
1424,0x590,,,
1425,0x591,,,
1426,0x592,,,
1427,0x593,,,
1428,0x594,,,
1429,0x595,,,
1430,0x596,,,
1431,0x597,,,
1432,0x598,,,
1433,0x599,,,
1434,0x59A,,,
1435,0x59B,,,
1436,0x59C,,,
1437,0x59D,,,
1438,0x59E,,,
1439,0x59F,,,
1440,0x5A0,,,
1441,0x5A1,,,
1442,0x5A2,,,
1443,0x5A3,,,
1444,0x5A4,,,
1445,0x5A5,,,
1446,0x5A6,,,
1447,0x5A7,,,
1448,0x5A8,,,
1449,0x5A9,,,
1450,0x5AA,,,
1451,0x5AB,,,
1452,0x5AC,,,
1453,0x5AD,,,
1454,0x5AE,,,
1455,0x5AF,,,
1456,0x5B0,,,
1457,0x5B1,,,
1458,0x5B2,,,
1459,0x5B3,,,
1460,0x5B4,,,
1461,0x5B5,,,
1462,0x5B6,,,
1463,0x5B7,,,
1464,0x5B8,,,
1465,0x5B9,,,
1466,0x5BA,,,
1467,0x5BB,,,
1468,0x5BC,,,
1469,0x5BD,,,
1470,0x5BE,,,
1471,0x5BF,,,
1472,0x5C0,,,
1473,0x5C1,,,
1474,0x5C2,,,
1475,0x5C3,,,
1476,0x5C4,,,
1477,0x5C5,,,
1478,0x5C6,,,
1479,0x5C7,,,
1480,0x5C8,,,
1481,0x5C9,,,
1482,0x5CA,,,
1483,0x5CB,,,
1484,0x5CC,,,
1485,0x5CD,,,
1486,0x5CE,,,
1487,0x5CF,,,
1488,0x5D0,,,
1489,0x5D1,,,
1490,0x5D2,,,
1491,0x5D3,,,
1492,0x5D4,,,
1493,0x5D5,,,
1494,0x5D6,,,
1495,0x5D7,,,
1496,0x5D8,,,
1497,0x5D9,,,
1498,0x5DA,,,
1499,0x5DB,,,
1500,0x5DC,,,
1501,0x5DD,,,
1502,0x5DE,,,
1503,0x5DF,,,
1504,0x5E0,,,
1505,0x5E1,,,
1506,0x5E2,,,
1507,0x5E3,,,
1508,0x5E4,,,
1509,0x5E5,,,
1510,0x5E6,,,
1511,0x5E7,,,
1512,0x5E8,,,
1513,0x5E9,,,
1514,0x5EA,,,
1515,0x5EB,,,
1516,0x5EC,,,
1517,0x5ED,,,
1518,0x5EE,,,
1519,0x5EF,,,
1520,0x5F0,,,
1521,0x5F1,,,
1522,0x5F2,,,
1523,0x5F3,,,
1524,0x5F4,,,
1525,0x5F5,,,
1526,0x5F6,,,
1527,0x5F7,,,
1528,0x5F8,,,
1529,0x5F9,,,
1530,0x5FA,,,
1531,0x5FB,,,
1532,0x5FC,,,
1533,0x5FD,,,
1534,0x5FE,,,
1535,0x5FF,,,
1536,0x600,,,
1537,0x601,,,
1538,0x602,,,
1539,0x603,,,
1540,0x604,,,
1541,0x605,,,
1542,0x606,,,
1543,0x607,,,
1544,0x608,,,
1545,0x609,,,
1546,0x60A,,,
1547,0x60B,,,
1548,0x60C,,,
1549,0x60D,,,
1550,0x60E,,,
1551,0x60F,,,
1552,0x610,,,
1553,0x611,,,
1554,0x612,,,
1555,0x613,,,
1556,0x614,,,
1557,0x615,,,
1558,0x616,,,
1559,0x617,,,
1560,0x618,,,
1561,0x619,,,
1562,0x61A,,,
1563,0x61B,,,
1564,0x61C,,,
1565,0x61D,,,
1566,0x61E,,,
1567,0x61F,,,
1568,0x620,,,
1569,0x621,,,
1570,0x622,,,
1571,0x623,,,
1572,0x624,,,
1573,0x625,,,
1574,0x626,,,
1575,0x627,,,
1576,0x628,,,
1577,0x629,,,
1578,0x62A,,,
1579,0x62B,,,
1580,0x62C,,,
1581,0x62D,,,
1582,0x62E,,,
1583,0x62F,,,
1584,0x630,,,
1585,0x631,,,
1586,0x632,,,
1587,0x633,,,
1588,0x634,,,
1589,0x635,,,
1590,0x636,,,
1591,0x637,,,
1592,0x638,,,
1593,0x639,,,
1594,0x63A,,,
1595,0x63B,,,
1596,0x63C,,,
1597,0x63D,,,
1598,0x63E,,,
1599,0x63F,,,
1600,0x640,,,
1601,0x641,,,
1602,0x642,,,
1603,0x643,,,
1604,0x644,,,
1605,0x645,,,
1606,0x646,,,
1607,0x647,,,
1608,0x648,,,
1609,0x649,,,
1610,0x64A,,,
1611,0x64B,,,
1612,0x64C,,,
1613,0x64D,,,
1614,0x64E,,,
1615,0x64F,,,
1616,0x650,,,
1617,0x651,,,
1618,0x652,,,
1619,0x653,,,
1620,0x654,,,
1621,0x655,,,
1622,0x656,,,
1623,0x657,,,
1624,0x658,,,
1625,0x659,,,
1626,0x65A,,,
1627,0x65B,,,
1628,0x65C,,,
1629,0x65D,,,
1630,0x65E,,,
1631,0x65F,,,
1632,0x660,,,
1633,0x661,,,
1634,0x662,,,
1635,0x663,,,
1636,0x664,,,
1637,0x665,,,
1638,0x666,,,
1639,0x667,,,
1640,0x668,,,
1641,0x669,,,
1642,0x66A,,,
1643,0x66B,,,
1644,0x66C,,,
1645,0x66D,,,
1646,0x66E,,,
1647,0x66F,,,
1648,0x670,,,
1649,0x671,,,
1650,0x672,,,
1651,0x673,,,
1652,0x674,,,
1653,0x675,,,
1654,0x676,,,
1655,0x677,,,
1656,0x678,,,
1657,0x679,,,
1658,0x67A,,,
1659,0x67B,,,
1660,0x67C,,,
1661,0x67D,,,
1662,0x67E,,,
1663,0x67F,,,
1664,0x680,,,
1665,0x681,,,
1666,0x682,,,
1667,0x683,,,
1668,0x684,,,
1669,0x685,,,
1670,0x686,,,
1671,0x687,,,
1672,0x688,,,
1673,0x689,,,
1674,0x68A,,,
1675,0x68B,,,
1676,0x68C,,,
1677,0x68D,,,
1678,0x68E,,,
1679,0x68F,,,
1680,0x690,,,
1681,0x691,,,
1682,0x692,,,
1683,0x693,,,
1684,0x694,,,
1685,0x695,,,
1686,0x696,,,
1687,0x697,,,
1688,0x698,,,
1689,0x699,,,
1690,0x69A,,,
1691,0x69B,,,
1692,0x69C,,,
1693,0x69D,,,
1694,0x69E,,,
1695,0x69F,,,
1696,0x6A0,,,
1697,0x6A1,,,
1698,0x6A2,,,
1699,0x6A3,,,
1700,0x6A4,,,
1701,0x6A5,,,
1702,0x6A6,,,
1703,0x6A7,,,
1704,0x6A8,,,
1705,0x6A9,,,
1706,0x6AA,,,
1707,0x6AB,,,
1708,0x6AC,,,
1709,0x6AD,,,
1710,0x6AE,,,
1711,0x6AF,,,
1712,0x6B0,,,
1713,0x6B1,,,
1714,0x6B2,,,
1715,0x6B3,,,
1716,0x6B4,,,
1717,0x6B5,,,
1718,0x6B6,,,
1719,0x6B7,,,
1720,0x6B8,,,
1721,0x6B9,,,
1722,0x6BA,,,
1723,0x6BB,,,
1724,0x6BC,,,
1725,0x6BD,,,
1726,0x6BE,,,
1727,0x6BF,,,
1728,0x6C0,,,
1729,0x6C1,,,
1730,0x6C2,,,
1731,0x6C3,,,
1732,0x6C4,,,
1733,0x6C5,,,
1734,0x6C6,,,
1735,0x6C7,,,
1736,0x6C8,,,
1737,0x6C9,,,
1738,0x6CA,,,
1739,0x6CB,,,
1740,0x6CC,,,
1741,0x6CD,,,
1742,0x6CE,,,
1743,0x6CF,,,
1744,0x6D0,,,
1745,0x6D1,,,
1746,0x6D2,,,
1747,0x6D3,,,
1748,0x6D4,,,
1749,0x6D5,,,
1750,0x6D6,,,
1751,0x6D7,,,
1752,0x6D8,,,
1753,0x6D9,,,
1754,0x6DA,,,
1755,0x6DB,,,
1756,0x6DC,,,
1757,0x6DD,,,
1758,0x6DE,,,
1759,0x6DF,,,
1760,0x6E0,,,
1761,0x6E1,,,
1762,0x6E2,,,
1763,0x6E3,,,
1764,0x6E4,,,
1765,0x6E5,,,
1766,0x6E6,,,
1767,0x6E7,,,
1768,0x6E8,,,
1769,0x6E9,,,
1770,0x6EA,,,
1771,0x6EB,,,
1772,0x6EC,,,
1773,0x6ED,,,
1774,0x6EE,,,
1775,0x6EF,,,
1776,0x6F0,,,
1777,0x6F1,,,
1778,0x6F2,,,
1779,0x6F3,,,
1780,0x6F4,,,
1781,0x6F5,,,
1782,0x6F6,,,
1783,0x6F7,,,
1784,0x6F8,,,
1785,0x6F9,,,
1786,0x6FA,,,
1787,0x6FB,,,
1788,0x6FC,,,
1789,0x6FD,,,
1790,0x6FE,,,
1791,0x6FF,,,
1792,0x700,,,
1793,0x701,,,
1794,0x702,,,
1795,0x703,,,
1796,0x704,,,
1797,0x705,,,
1798,0x706,,,
1799,0x707,,,
1800,0x708,,,
1801,0x709,,,
1802,0x70A,,,
1803,0x70B,,,
1804,0x70C,,,
1805,0x70D,,,
1806,0x70E,,,
1807,0x70F,,,
1808,0x710,,,
1809,0x711,,,
1810,0x712,,,
1811,0x713,,,
1812,0x714,,,
1813,0x715,,,
1814,0x716,,,
1815,0x717,,,
1816,0x718,,,
1817,0x719,,,
1818,0x71A,,,
1819,0x71B,,,
1820,0x71C,,,
1821,0x71D,,,
1822,0x71E,,,
1823,0x71F,,,
1824,0x720,,,
1825,0x721,,,
1826,0x722,,,
1827,0x723,,,
1828,0x724,,,
1829,0x725,,,
1830,0x726,,,
1831,0x727,,,
1832,0x728,,,
1833,0x729,,,
1834,0x72A,,,
1835,0x72B,,,
1836,0x72C,,,
1837,0x72D,,,
1838,0x72E,,,
1839,0x72F,,,
1840,0x730,,,
1841,0x731,,,
1842,0x732,,,
1843,0x733,,,
1844,0x734,,,
1845,0x735,,,
1846,0x736,,,
1847,0x737,,,
1848,0x738,,,
1849,0x739,,,
1850,0x73A,,,
1851,0x73B,,,
1852,0x73C,,,
1853,0x73D,,,
1854,0x73E,,,
1855,0x73F,,,
1856,0x740,,,
1857,0x741,,,
1858,0x742,,,
1859,0x743,,,
1860,0x744,,,
1861,0x745,,,
1862,0x746,,,
1863,0x747,,,
1864,0x748,,,
1865,0x749,,,
1866,0x74A,,,
1867,0x74B,,,
1868,0x74C,,,
1869,0x74D,,,
1870,0x74E,,,
1871,0x74F,,,
1872,0x750,,,
1873,0x751,,,
1874,0x752,,,
1875,0x753,,,
1876,0x754,,,
1877,0x755,,,
1878,0x756,,,
1879,0x757,,,
1880,0x758,,,
1881,0x759,,,
1882,0x75A,,,
1883,0x75B,,,
1884,0x75C,,,
1885,0x75D,,,
1886,0x75E,,,
1887,0x75F,,,
1888,0x760,,,
1889,0x761,,,
1890,0x762,,,
1891,0x763,,,
1892,0x764,,,
1893,0x765,,,
1894,0x766,,,
1895,0x767,,,
1896,0x768,,,
1897,0x769,,,
1898,0x76A,,,
1899,0x76B,,,
1900,0x76C,,,
1901,0x76D,,,
1902,0x76E,,,
1903,0x76F,,,
1904,0x770,,,
1905,0x771,,,
1906,0x772,,,
1907,0x773,,,
1908,0x774,,,
1909,0x775,,,
1910,0x776,,,
1911,0x777,,,
1912,0x778,,,
1913,0x779,,,
1914,0x77A,,,
1915,0x77B,,,
1916,0x77C,,,
1917,0x77D,,,
1918,0x77E,,,
1919,0x77F,,,
1920,0x780,,,
1921,0x781,,,
1922,0x782,,,
1923,0x783,,,
1924,0x784,,,
1925,0x785,,,
1926,0x786,,,
1927,0x787,,,
1928,0x788,,,
1929,0x789,,,
1930,0x78A,,,
1931,0x78B,,,
1932,0x78C,,,
1933,0x78D,,,
1934,0x78E,,,
1935,0x78F,,,
1936,0x790,,,
1937,0x791,,,
1938,0x792,,,
1939,0x793,,,
1940,0x794,,,
1941,0x795,,,
1942,0x796,,,
1943,0x797,,,
1944,0x798,,,
1945,0x799,,,
1946,0x79A,,,
1947,0x79B,,,
1948,0x79C,,,
1949,0x79D,,,
1950,0x79E,,,
1951,0x79F,,,
1952,0x7A0,,,
1953,0x7A1,,,
1954,0x7A2,,,
1955,0x7A3,,,
1956,0x7A4,,,
1957,0x7A5,,,
1958,0x7A6,,,
1959,0x7A7,,,
1960,0x7A8,,,
1961,0x7A9,,,
1962,0x7AA,,,
1963,0x7AB,,,
1964,0x7AC,,,
1965,0x7AD,,,
1966,0x7AE,,,
1967,0x7AF,,,
1968,0x7B0,,,
1969,0x7B1,,,
1970,0x7B2,,,
1971,0x7B3,,,
1972,0x7B4,,,
1973,0x7B5,,,
1974,0x7B6,,,
1975,0x7B7,,,
1976,0x7B8,,,
1977,0x7B9,,,
1978,0x7BA,,,
1979,0x7BB,,,
1980,0x7BC,,,
1981,0x7BD,,,
1982,0x7BE,,,
1983,0x7BF,,,
1984,0x7C0,,,
1985,0x7C1,,,
1986,0x7C2,,,
1987,0x7C3,,,
1988,0x7C4,,,
1989,0x7C5,,,
1990,0x7C6,,,
1991,0x7C7,,,
1992,0x7C8,,,
1993,0x7C9,,,
1994,0x7CA,,,
1995,0x7CB,,,
1996,0x7CC,,,
1997,0x7CD,,,
1998,0x7CE,,,
1999,0x7CF,,,
2000,0x7D0,,,
2001,0x7D1,,,
2002,0x7D2,,,
2003,0x7D3,,,
2004,0x7D4,,,
2005,0x7D5,,,
2006,0x7D6,,,
2007,0x7D7,,,
2008,0x7D8,,,
2009,0x7D9,,,
2010,0x7DA,,,
2011,0x7DB,,,
2012,0x7DC,,,
2013,0x7DD,,,
2014,0x7DE,,,
2015,0x7DF,,,
2016,0x7E0,,,
2017,0x7E1,,,
2018,0x7E2,,,
2019,0x7E3,,,
2020,0x7E4,,,
2021,0x7E5,,,
2022,0x7E6,,,
2023,0x7E7,,,
2024,0x7E8,,,
2025,0x7E9,,,
2026,0x7EA,,,
2027,0x7EB,,,
2028,0x7EC,,,
2029,0x7ED,,,
2030,0x7EE,,,
2031,0x7EF,,,
2032,0x7F0,,,
2033,0x7F1,,,
2034,0x7F2,,,
2035,0x7F3,,,
2036,0x7F4,,,
2037,0x7F5,,,
2038,0x7F6,,,
2039,0x7F7,,,
2040,0x7F8,,,
2041,0x7F9,,,
2042,0x7FA,,,
2043,0x7FB,,,
2044,0x7FC,,,
2045,0x7FD,,,
